N_atom, run_time (sec)
12, 0.09864473342895508
10, 0.0941321849822998
8, 0.05043768882751465
8, 0.05340433120727539
7, 0.04007983207702637
4, 0.024954795837402344
8, 0.08641362190246582
10, 0.06892657279968262
10, 0.06633162498474121
9, 0.059900522232055664
10, 0.07048583030700684
9, 0.062148332595825195
8, 0.052808284759521484
6, 0.03278517723083496
8, 0.05040550231933594
2, 0.014400005340576172
10, 0.06657075881958008
10, 0.05908060073852539
4, 0.0334780216217041
3, 0.016248464584350586
9, 0.056011199951171875
7, 0.0399169921875
9, 0.0665276050567627
6, 0.038908958435058594
3, 0.019606590270996094
12, 0.08360075950622559
5, 0.025170326232910156
8, 0.048108577728271484
11, 0.08595466613769531
12, 0.08757543563842773
4, 0.025234222412109375
8, 0.04812169075012207
7, 0.041890859603881836
10, 0.06143593788146973
7, 0.05549359321594238
10, 0.06602740287780762
4, 0.025286436080932617
11, 0.08067536354064941
12, 0.1089015007019043
8, 0.04957222938537598
12, 0.08818674087524414
4, 0.025005578994750977
8, 0.04970121383666992
8, 0.050299644470214844
12, 0.09056401252746582
8, 0.058226585388183594
6, 0.03119635581970215
10, 0.07600021362304688
6, 0.03841876983642578
3, 0.016588687896728516
12, 0.09701061248779297
12, 0.10692477226257324
8, 0.049482107162475586
10, 0.06013798713684082
10, 0.06744527816772461
10, 0.06596779823303223
8, 0.08790802955627441
10, 0.07363033294677734
8, 0.04849410057067871
10, 0.06873726844787598
10, 0.08992767333984375
6, 0.0466456413269043
11, 0.07706499099731445
10, 0.07957077026367188
10, 0.07026338577270508
10, 0.06511306762695312
7, 0.07161331176757812
4, 0.024580955505371094
10, 0.08450078964233398
10, 0.07242035865783691
8, 0.0502161979675293
7, 0.04661846160888672
8, 0.0466923713684082
5, 0.026598691940307617
10, 0.06445002555847168
12, 0.10962581634521484
3, 0.016402006149291992
3, 0.017342090606689453
12, 0.08537769317626953
2, 0.014908790588378906
2, 0.019557714462280273
12, 0.10971975326538086
7, 0.04869532585144043
5, 0.025342702865600586
8, 0.04647397994995117
4, 0.023249387741088867
12, 0.09054422378540039
7, 0.054231882095336914
4, 0.024074554443359375
7, 0.0383296012878418
10, 0.06389427185058594
12, 0.11822128295898438
10, 0.06761431694030762
8, 0.06074094772338867
4, 0.024268627166748047
4, 0.024493932723999023
10, 0.08426284790039062
7, 0.0413360595703125
6, 0.038054466247558594
8, 0.09838318824768066
6, 0.04357194900512695
2, 0.015111207962036133
10, 0.06024956703186035
12, 0.09313678741455078
4, 0.024681568145751953
8, 0.07562637329101562
6, 0.0438535213470459
2, 0.014650821685791016
8, 0.05397152900695801
8, 0.04659318923950195
10, 0.05556893348693848
4, 0.024909257888793945
12, 0.10106444358825684
9, 0.052832603454589844
10, 0.06237173080444336
10, 0.06345987319946289
4, 0.023415565490722656
3, 0.016035079956054688
6, 0.03980278968811035
20, 0.22794127464294434
8, 0.044486284255981445
10, 0.11626148223876953
2, 0.01471400260925293
8, 0.047512054443359375
10, 0.06596899032592773
9, 0.04811882972717285
9, 0.05903458595275879
5, 0.02611684799194336
8, 0.04520869255065918
2, 0.01506185531616211
2, 0.013755321502685547
